储能/MWh,产量/t,吨氨成本/元,弃电/MWh,分支节点数
104,53.16899692263407,5760.409775818789,57.473805791596945,1
105,53.23340915839831,5759.314940681483,56.34926751379239,1
106,53.29782139416255,5758.222751835418,55.22472923598786,1
107,53.362233629926784,5757.133199697778,54.100190958183305,1
108,53.42664586569102,5756.046274731954,52.97565268037878,1
109,53.49105810145526,5754.961967447278,51.851114402574225,1
110,53.555470337219504,5753.880268398736,50.72657612476967,1
111,53.61988257298374,5752.8011681867,49.60203784696511,1
112,53.68429480874797,5751.724657456654,48.47749956916057,1
113,53.748707044512216,5750.650726898923,47.35296129135603,1
114,53.81311928027645,5749.579381986931,46.22834370095338,1
115,53.877531516040705,5748.511002284159,45.10155183942579,1
116,53.94194375180494,5747.445174092163,43.974759977898174,1
117,54.00635598756918,5746.381888281541,42.84796811637057,1
118,54.07076822333342,5745.321135766398,41.721176254842995,1
119,54.135180459097654,5744.262907504078,40.59438439331537,1
120,54.19959269486189,5743.207194494916,39.46759253178776,1
121,54.26400493062613,5742.153987781975,38.340800670260165,1
122,54.328417166390366,5741.103278450797,37.21400880873255,1
123,54.392829402154604,5740.055057629148,36.08721694720496,1
124,54.457241637918855,5739.009316486772,34.96042508567737,1
125,54.52165387368309,5737.966046235143,33.83363322414972,1
126,54.586066109447316,5736.925238127215,32.706841362622164,1
127,54.65047834521157,5735.8868834571795,31.58004950109452,1
128,54.71489058097581,5734.850973560226,30.453257639566907,1
129,54.77930281674005,5733.817499812294,29.326465778039374,1
130,54.84371505250428,5732.786453629843,28.19967391651176,1
131,54.908127288268524,5731.757826469605,27.07288205498417,1
132,54.97253952403276,5730.731609828353,25.946090193456527,1
133,55.036951759797,5729.707795242672,24.81929833192888,1
134,55.101363995561236,5728.686404654877,23.69233914869876,1
135,55.165776231325474,5727.667778242544,22.563289187248223,1
136,55.23018846708971,5726.651527777368,21.434239225797743,1
137,55.29460070285395,5725.637644956182,20.305189264347206,1
138,55.359012938618186,5724.626121514468,19.176139302896754,1
139,55.42342517438242,5723.6169492261215,18.047089341446274,1
140,55.48783741014666,5722.610119903241,16.918039379995708,1
141,55.552249645910905,5721.605625395891,15.788989418545285,1
142,55.616661881675135,5720.603457591905,14.659939457094747,1
143,55.68105719330089,5719.604797948102,13.530889495644224,1
144,55.74534060459361,5718.616299510989,12.401839534193687,1
145,55.809624015886314,5717.630078245698,11.272789572743152,1
146,55.87390742717903,5716.646126292512,10.143739611292615,1
147,55.93819083847174,5715.664435827843,9.014689649842106,1
148,56.00247424976445,5714.684999064023,7.885639688391597,1
149,56.066757661057146,5713.707927349276,6.755921970882838,1
150,56.131041072349866,5712.733377727372,5.624609384259171,1
151,56.19532448364258,5711.761057734879,4.49329679763539,1
152,56.259607894935286,5710.790959728937,3.361984211011722,1
153,56.32389130622799,5709.823076101571,2.230671624387912,1
154,56.388174717520705,5708.857399279499,1.099359037764187,1
155,56.4506424651782,5708.013760774802,0.0,1
156,56.4506424651782,5711.294240448694,0.0,1
157,56.4506424651782,5714.574720122587,0.0,1
158,56.4506424651782,5717.855199796479,0.0,1
159,56.4506424651782,5721.135679470371,0.0,1
160,56.4506424651782,5724.4161591442635,0.0,1
161,56.4506424651782,5727.696638818156,0.0,1
162,56.4506424651782,5730.977118492048,0.0,1
163,56.4506424651782,5734.257598165941,0.0,1
164,56.4506424651782,5737.538077839833,0.0,1
165,56.4506424651782,5740.818557513726,0.0,1
166,56.4506424651782,5744.099037187618,0.0,1
167,56.4506424651782,5747.379516861511,0.0,1
168,56.4506424651782,5750.659996535403,0.0,1
169,56.4506424651782,5753.9404762092945,0.0,1
170,56.4506424651782,5757.220955883188,0.0,1
171,56.4506424651782,5760.50143555708,0.0,1
172,56.4506424651782,5763.781915230972,0.0,1
173,56.4506424651782,5767.062394904864,0.0,1
174,56.4506424651782,5770.342874578758,0.0,1
175,56.4506424651782,5773.62335425265,0.0,1
176,56.4506424651782,5776.903833926542,0.0,1
177,56.4506424651782,5780.1843136004345,0.0,1
178,56.4506424651782,5783.464793274327,0.0,1
179,56.4506424651782,5786.745272948219,0.0,1
180,56.4506424651782,5790.025752622112,0.0,1
181,56.4506424651782,5793.306232296004,0.0,1
182,56.4506424651782,5796.586711969897,0.0,1
183,56.4506424651782,5799.86719164379,0.0,1
184,56.4506424651782,5803.147671317682,0.0,1
185,56.4506424651782,5806.428150991574,0.0,1
186,56.4506424651782,5809.7086306654655,0.0,1
187,56.4506424651782,5812.989110339359,0.0,1
188,56.4506424651782,5816.269590013251,0.0,1
189,56.4506424651782,5819.550069687144,0.0,1
190,56.4506424651782,5822.830549361037,0.0,1
191,56.4506424651782,5826.111029034929,0.0,1
192,56.4506424651782,5829.391508708822,0.0,1
193,56.4506424651782,5832.671988382714,0.0,1
194,56.4506424651782,5835.9524680566055,0.0,1
195,56.4506424651782,5839.232947730499,0.0,1
196,56.4506424651782,5842.513427404391,0.0,1
197,56.4506424651782,5845.793907078283,0.0,1
198,56.4506424651782,5849.074386752175,0.0,1
199,56.4506424651782,5852.354866426069,0.0,1
200,56.4506424651782,5855.635346099961,0.0,1
201,56.4506424651782,5858.915825773853,0.0,1
202,56.4506424651782,5862.1963054477455,0.0,1
203,56.4506424651782,5865.476785121637,0.0,1
204,56.4506424651782,5868.75726479553,0.0,1
205,56.4506424651782,5872.037744469422,0.0,1
206,56.4506424651782,5875.318224143315,0.0,1
207,56.4506424651782,5878.598703817208,0.0,1
208,56.4506424651782,5881.8791834911,0.0,1
209,56.4506424651782,5885.159663164993,0.0,1
210,56.4506424651782,5888.440142838885,0.0,1
211,56.4506424651782,5891.720622512777,0.0,1
