场景,产量/t,吨氨成本/元_离散,购电/MWh_离散,上网/MWh_离散,自发自用占比_离散,绿电比例_离散,上网比例_离散,判定_离散,开机小时数,开机小时,吨氨成本/元_连续,购电/MWh_连续,上网/MWh_连续,自发自用占比_连续,绿电比例_连续,上网比例_连续,判定_连续,平均负荷率,最小负荷率,最大负荷率,吨氨成本差_离散减连续
W2P4,36,9347.38086388889,427.5886,38.8126,0.543230711293132,0.23469967067583047,0.22838464435343406,全不满足,12,"0,1,2,3,4,5,6,7,15,16,17,23",9165.215897222222,388.93420000000003,0.158199999999999,0.9981382102339593,0.30388351947308134,0.0009308948830202831,全满足,0.5,0.1,1.0,182.16496666666717
W3P1,72,6347.782804166667,402.2482,126.36819999999999,0.676327544695456,0.6193426830191536,0.1618362276522719,全满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",6347.782804166667,402.2482,126.36819999999999,0.676327544695456,0.6193426830191536,0.1618362276522719,全满足,1.0,1.0,1.0,0.0
W3P1,63,5656.713076190476,311.2944,159.9144,0.5904041801137238,0.6660719572633068,0.20479790994313818,部分满足,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,21,22,23",5535.1343857142865,277.8094,126.42939999999999,0.6761707904308181,0.7019915899680332,0.16191460478459097,全满足,0.875,0.13,1.0,121.57869047618988
W3P1,54,5104.0882,229.8364,202.9564,0.48015880333999267,0.7154504036052096,0.25992059833000364,部分满足,18,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,23",5076.419849999999,223.3262,196.44620000000003,0.49683366630807857,0.7235103748823848,0.2515831668459608,部分满足,0.75,0.1,1.0,27.668350000000828
W3P1,45,4712.647153333334,223.3262,320.9462,0.17794631422570578,0.6731269576417551,0.4110268428871472,部分满足,15,"0,1,2,3,4,5,6,9,10,12,13,14,15,16,23",4712.647153333333,223.3262,320.94620000000003,0.1779463142257057,0.673126957641755,0.41102684288714725,部分满足,0.625,0.1,1.0,9.094947017729282e-13
W3P1,36,4166.988108333334,223.3262,445.44620000000003,-0.14094103785666717,0.6002895904925541,0.5704705189283337,部分满足,12,"0,1,2,3,4,5,6,10,12,13,14,23",4166.988108333334,223.3262,445.4462,-0.1409410378566671,0.6002895904925543,0.5704705189283337,部分满足,0.5,0.1,1.0,0.0
W3P2,72,7729.670024999999,538.1664,3.7264000000000053,0.985730259630849,0.4907199636611402,0.007134870184575334,全满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",7729.670024999999,538.1664,3.7264000000000053,0.985730259630849,0.4907199636611402,0.007134870184575334,全满足,1.0,1.0,1.0,0.0
W3P2,63,7179.951804761904,438.8926,28.95260000000001,0.8891299685992189,0.5291963270472635,0.05543501570039062,全满足,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,21,22,23",7030.8602666666675,413.90639999999996,3.9664000000000073,0.9848112123765032,0.5559992276501254,0.007594393811748501,全满足,0.875,0.13,1.0,149.0915380952365
W3P2,54,6792.21185,336.4962,51.05620000000001,0.804487248219346,0.583399940573466,0.09775637589032705,全满足,18,"0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,23",6524.331422222222,289.4064,3.9664000000000073,0.9848112123765029,0.6416995988708959,0.007594393811748501,全满足,0.75,0.13,1.0,267.8804277777781
W3P2,45,6422.045106666667,278.0304,117.09040000000002,0.5516182890403615,0.5930587512075172,0.2241908554798193,部分满足,15,"0,1,2,3,4,5,6,9,11,12,13,14,15,16,23",6183.375686666667,237.4062,76.46620000000001,0.7071831201654285,0.6525186616316851,0.14640843991728578,全满足,0.625,0.1,1.0,238.66942000000017
