场景,产量/t,吨氨成本/元,购电/MWh,上网/MWh,自发自用占比,绿电比例,上网比例,判定,开机小时数,开机小时
W6P3,72,9491.53848040335,765.28,0.0,0.9999999999999994,0.27579680520857,0.0,部分满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
W6P3,63,9171.333944270495,662.7142,21.934200000000004,0.8494770793302224,0.2891010705627427,0.07526146033488884,部分满足,21,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,21,22,23"
W6P3,54,8859.698196093355,574.816,58.536,0.5982981059566291,0.2883474471351458,0.20085094702168543,全不满足,18,"0,1,2,3,4,5,6,7,8,9,12,13,15,16,17,21,22,23"
W6P3,45,8614.727675312026,490.9504,99.1704,0.3194455119407083,0.2814168203506923,0.3402772440296459,全不满足,15,"0,1,2,3,4,5,6,7,8,9,15,16,17,21,23"
W6P3,36,8395.280985806698,389.0982,121.81819999999999,0.16402552841065063,0.3035899914089347,0.41798723579467467,部分满足,12,"0,1,2,3,4,5,6,7,8,15,17,23"
W6P4,72,10040.048702625569,829.92,0.0,0.9999999999999992,0.2146263910969794,0.0,部分满足,24,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23"
W6P4,63,9720.024693476844,715.7518,10.331800000000001,0.9088906525573194,0.232207204307996,0.045554673721340394,部分满足,21,"0,1,2,3,4,5,6,7,8,9,12,13,14,15,16,17,18,19,21,22,23"
W6P4,54,9389.80071461187,613.856,32.93600000000001,0.7095590828924163,0.2400138661912544,0.1452204585537919,部分满足,18,"0,1,2,3,4,5,6,7,8,9,12,13,15,16,17,21,22,23"
W6P4,45,9088.716697534246,511.25039999999996,54.830400000000004,0.5164867724867728,0.251704575392992,0.24175661375661375,全不满足,15,"0,1,2,3,4,5,6,7,8,15,16,17,21,22,23"
W6P4,36,8913.525288584475,397.75239999999997,65.8324,0.419467372134039,0.28810065864833906,0.29026631393298064,全不满足,12,"0,1,2,3,4,5,6,7,8,21,22,23"
